appid,name,developer,publisher
239030,"Papers, Please",3909,3909
298280,XenoRaptor,Peter Cleary,-
603940,Pixel Shopkeeper,"Pixel Prototype, LLC",-
270010,Time Rifters,Proton Studio Inc, 
334690,Squirreltopia,Sean Davy, 
340340,Domestic Dog,Sean Davy, 
385770,Time Clickers,Proton Studio Inc, 
456780,DUCATI - 90th Anniversary,Milestone S.r.l.,  Milestone S.r.l.
493480,ERISLE,Expect Studio, Expect Studio 
368890,AR-K: The Great Escape,Gato Salvaje S.L., Gato Salvaje S.L.
330390,Grandia II Anniversary Edition,"GAME ARTS Co., Ltd., SkyBox Labs"," GungHo Online Entertainment America, Inc.	"
573770,RED,"storyk21674, STILILA, è²“è›‹", ï¼¬ï½…ï½ï½ï½Žã€€ï¼¢ï½ï½Œï½
470280,Lost Route,Imbanova Entertainment Inc., Imbanova Entertainment Inc.
681540,Escape From Space Shredder,s_unk, s_unk
526590,Boxing Saga,VR PrinceTechnology development Beijing Co. Ltd, VR PrinceTechnology development Beijing Co. Ltd
253250,Stonehearth,Radiant Entertainment,(none)
548130,Scribble Ships,Slothzilla Games,(none)
647040,Riaaf The Spider,"Evgeny Osmet, .ez Games",.ez Games
647050,Super Hardcore,.ez Games,.ez Games
233980,UnEpic,@unepic_fran,@unepic_fran
463270,Ghost 1.0,@unepic_fran,@unepic_fran
586880,Mini Ghost,@unepic_fran,@unepic_fran
454320,[the Sequence],[OneManBand],[OneManBand]
496910,DrumKit VR - Play drum kit in the world of VR,0o0,0o0
454250,The Eyes of Ara,100 Stones Interactive,100 Stones Interactive
562840,Dragon Blood,TeamTop Games,101XP
604190,Storm Riders,"Mokylin Tech. Co.,Ltd",101XP
527160,Cmoar VR Cinema,10Ants Hill,10Ants Hill
555050,Racket Fury: Table Tennis VR,10Ants Hill,10Ants Hill
262830,Crimsonland,10tons Ltd,10tons Ltd
370550,Sparkle 2,10tons Ltd,10tons Ltd
394290,Tennis in the Face,10tons Ltd,10tons Ltd
428750,Neon Chrome,10tons Ltd,10tons Ltd
460220,Xenoraid: The First Space War,10tons Ltd,10tons Ltd
550440,Azkend 2: The World Beneath,10tons Ltd,10tons Ltd
626580,Spellspire,10tons Ltd,10tons Ltd
333990,Conclave,10x10 Room,10x10 Room
91200,Anomaly: Warzone Earth,11 bit studios,11 bit studios
236730,Anomaly 2,11 bit studios,11 bit studios
251530,Anomaly Korea,11 bit studios,11 bit studios
252170,Anomaly Warzone Earth Mobile Campaign,11 bit studios,11 bit studios
263860,SPACECOM,Flow Combine,11 bit studios
282070,This War of Mine,11 bit studios,11 bit studios
294750,Anomaly Defenders,11 bit studios,11 bit studios
461950,Beat Cop,Pixel Crow,11 bit studios
530950,Tower 57,Pixwerk,11 bit studios
464650,Runbow,13AM Games,13AM Games
487350,Pirate Pop Plus,dadako,"13AM Shipping Solutions, 13AM Games"
406780,Welcome to Boon Hill,Matthew Ritter,14 Hours Productions
671700,Dead Horizon,14 Hours Productions,14 Hours Productions
347630,16 Bit Arena,16bitarena.com,16bitarena.com
228960,Skulls of the Shogun,17-BIT,17-BIT
300580,GALAK-Z,17-BIT,17-BIT
448610,Draw Rider,17Studio,17Studio
588630,Draw Rider 2,17Studio,17Studio
454230,SLG Remix,1812 Productions (PC Port),1812 Productions
3170,King's Bounty: Armored Princess,Katauri Interactive,1C Company
7840,Death Track: Resurrection,Sky Fallen,1C Company
7860,NecroVision,The Farm 51,1C Company
9800,Death to Spies,Haggard Games,1C Company
11480,Soldiers: Heroes of World War II,Best Way,1C Company
25850,Elven Legacy,1C:InoCo,1C Company
25900,King's Bounty: The Legend,1C Company,1C Company
34410,Death to Spies: Moment of Truth,Haggard Games,1C Company
34420,XIII Century  Gold Edition,Unicorn Games Studio,1C Company
42930,Elven Legacy: Magic,1C:InoCo,1C Company
42940,Elven Legacy: Siege,1C:InoCo,1C Company
42950,Elven Legacy: Ranger,1C:InoCo,1C Company
46200,A.I.M. Racing,SkyRiver Studios,1C Company
46250,NecroVisioN: Lost Company,The Farm 51,1C Company
46260,Star Wolves 3: Civil War,Elite Games Team,1C Company
46270,Star Wolves,X-Bow Software,1C Company
46280,Star Wolves 2,X-Bow Software,1C Company
46290,Theatre of War,1C Company,1C Company
46340,Theatre of War 2: Africa 1943,1C Company,1C Company
46350,Real Warfare 1242,Unicorn Games Studio,1C Company
46360,Theatre of War 2: Kursk 1943,1C Company,1C Company
46370,Rig n Roll,SoftLab-NSK,1C Company
46380,Reign: Conflict of Nations,Lesta Studio,1C Company
63900,Fantasy Wars,Ino-Co,1C Company
63910,King's Bounty: Crossworlds,Katauri Interactive,1C Company
63950,IL-2 Sturmovik: Cliffs of Dover,1C: Maddox Games,1C Company
63960,Theatre of War 3: Korea,1C Company,1C Company
200230,Off-Road Drive,1C-Avalon,1C Company
