appid,name,developer,publisher
530950,Tower 57,Pixwerk,11 bit studios
614150,Train Harder,2Frogs Software,2Frogs Software
523230,Super Spring Ninja,Demon Sword Games,378 Publishing Ltd
625190,Great Pyramid VR,Michal BÃ¡rta,3DA
438450,3DF Zephyr Lite Steam Edition,3Dflow SRL,3Dflow SRL
340960,Pulsen,4-Panel Footprint,4-Panel Footprint
421170,Indivisible,Lab Zero Games,505 Games
570460,Laser League,Roll7,505 Games
528960,Blanco,51Pegasi Studios,51Pegasi Studios
573610,DOOORS VR,"ODAKO Co.,Ltd.",58works
635270,Through The Dark: Prologue,6waves,6waves
409610,One Final Chaos,"Pusselbit, Sweet Studio Labs",A Sweet Studio
590910,,ä¸Šæµ·ç‚Žæˆ˜ç½‘ç»œç§‘æŠ€æœ‰é™å…¬å¸,ä¸Šæµ·ç‚Žæˆ˜ç½‘ç»œç§‘æŠ€æœ‰é™å…¬å¸
551570,Sarab: The Dark Tower,Abdulla Hassan Al-Farsi,Abduula Hassan Al-Farsi
491020,Revenge of the Spirit: Rite of Resurrection,Absolutist Ltd.,Absolutist Ltd.
563180,Dispersio,Achpile,Achpile
231990,Spider-Manâ„¢: Shattered Dimensions,Beenox,Activision
311210,Call of Duty: Black Ops III - Zombies Chronicles Edition,Treyarch,Activision
42690,Call of DutyÂ®: Modern WarfareÂ® 3,"Infinity Ward, Sledgehammer Games, Aspyr (Mac)","Activision, Aspyr (Mac)"
347800,Ghost Song,Old Moon,Adult Swim Games
356650,Death's Gambit,White Rabbit,Adult Swim Games
460950,Katana ZERO,Askiisoft,Adult Swim Games
516110,ToeJam and Earl: Back in the Groove,Humanature Studios,Adult Swim Games
568330,(VR) The Han Dynasty Imperial Mausoleums,æ´¾å˜‰æ•°åˆ›ç§‘æŠ€æœ‰é™å…¬å¸,æ´¾å˜‰æ•°åˆ›ç§‘æŠ€æœ‰é™å…¬å¸
457890,TumbleSeed,"Benedict Fritz, Greg Wohlwend, Joel Corelitz, David Laskey, Jenna Blazevich",aeiowu
372570,A Stroke of Fate: Operation Bunker,Spline Games,Akella
666050,Rescue Team 7,Nova Ideas,Alawar Entertainment
370620,Onyx,Valkyria Games,Aldorlea Games
542650,On the front line,Alekseev,Alekseev
519200,Kitty Kitty Boing Boing: the Happy Adventure in Puzzle Garden!,Alex Hanson-White,Alex Hanson-White
667110,Altar Show,"Altar Virtual Technologies, Inc.","Altar Virtual Technologies, Inc."
569570,Light Apprentice,Amazu Media,Amazu Media
616860,Magic Heroes: Save Our Park,Anawiki Games,Anawiki Games
652030,Tessa's Ark,Andrew Higgins,Andrew Higgins
243300,Centration,Angry Engineers Entertainment,Angry Engineers Entertainment
556090,FIGHTING SPACE,Apology Games,Apology Games
498720,Inklings,Applepine Games,Applepine Games
354480,Stars Beyond Reach,"Arcen Games, LLC","Arcen Games, LLC"
509380,Mech Ace Combat - Trainer Edition,Area 1,Area 1
664590,Airi's World,Artbox Games,Artbox Games
570090,articy:draft 3,ByteRockers' Games,articy Software
576640,GUNNVR,Artificient Games Inc.,Artificient Games Inc.
622440,Pandemic: The Board Game,"Asmodee Digital, F2Z Entertainment","Asmodee Digital, Z-Man Games"
598990,Pizza Connection,Assemble Entertainment,Assemble Entertainment
514400,Legends of Time,AstroBear Games,AstroBear Games
314850,Haunted House: Cryptic Graves,Dreampainters Software,Atari
370870,Dark Future: Blood Red States,Auroch Digital,Auroch Digital
622290,AVOlight.Space (Multi-Screen Media Player),AVOlight,AVOlight
586320,UFO - Unfortunately Fortunate Organisms,Rebourne Studios,Back To Basics Gaming
643700,Super Sports Surgery,"Badim, Wedoyouplay",Badim
614140,Illusoria,Under The Bridge,Badland Games
569010,Island Racer,baKno Games,baKno Games
684750,Winter Cold,bch waves studio,bch waves studio
546650,Beat Boxer,BeatBoxer LLC,BeatBoxer LLC
596280,You Are God,BefuddleBug,BefuddleBug
375230,"Warhammer 40,000 : Eternal Crusade",Behaviour Digital Inc.,Behaviour Digital Inc.
664340,Indeep | The casual dungeon crawler,BernhardP,BernhardP
667130,Clumsy Fred,BeshevGames,BeshevGames
442770,The Minims,beyondthosehills,beyondthosehills
458190,VR0GU3: Unapologetic Hardcore VR Edition,Big Dumb Fun Games,Big Dumb Fun Games
50930,Hidden Expedition: Everest,Big Fish Games,Big Fish Games
465900,Dark Tales: Edgar Allan Poe's The Gold Bug Collector's Edition,ERS G Studios,Big Fish Games
514700,Mystery Case Files: 13th Skull Collector's Edition,Big Fish Games,Big Fish Games
514750,Nightmare Adventures: The Witch's Prison,Ghost Ship Studios,Big Fish Games
527910,Nevertales: Shattered Image Collector's Edition,Mad Head Games,Big Fish Games
527920,Farm Tribe 2,CrioGames,Big Fish Games
533060,PuppetShow: Mystery of Joyville,ERS G Studios,Big Fish Games
551360,Myths of the World: Chinese Healer Collector's Edition,Eipix Entertainment,Big Fish Games
559970,Shrouded Tales: The Spellbound Land Collector's Edition,Friendly Cactus,Big Fish Games
586700,Otherworld: Omens of Summer Collector's Edition,Boomzap Inc.,Big Fish Games
433360,Drawn: Dark Flight,Big Fish Studios,"Big Fish Games, Inc."
266270,Gridiron Solitaire,Bill and Eli Productions,Bill and Eli Productions
414090,The Warden,"Matteo Cillario, Riccardo Runci, Niccolo' Passeri, Giulia Sorrentino",Black Mist Studios
434870,Megalo Polis,Black Sheep studio,Black Sheep studio
554610,Ultramegon,Blackturn ltd,Blackturn ltd
364660,Luminoso,blizzy Games,blizzy Games
458330,Vilmonic,Bludgeonsoft,Bludgeonsoft
459630,R.C. Bot Inc.,Blue Budgie Studios,Blue Budgie Studios
566640,DinoFense,Team 6,Blue Goji
570340,GoWings Safari,Blue Goji,Blue Goji
445070,Tatsu,BlueLine Games,BlueLine Games
558720,Tribal Siege,BOHDOKUMEN.,BOHDOKUMEN.
616330, DIG A BOO,bonefrog,bonefrog
680070,Puzzle: Underwater World,Boogygames Studios,Boogygames Studios
618370,Rescue Quest Gold,Boomzap Entertainment,Boomzap Entertainment
553430,Skill Master VR -- Learn Meditation,"fletcher.richman, owockitalki",Boulder VR Studios
572220,MageQuit,Bowlcut Studios,Bowlcut Studios
415090,KByte,"Daniel Gili, JoaquÃ­n Godoy, Emilio Martinez, Bruno Carro",Boxel Games
628560,Bebop and Tempo,Brandon Dominguez,Brandon Dominguez
381890,Induction,Bryan Gale,Bryan Gale
554690,Rotation Phonology: Break,ButterChain,ButterChain
